x,y,z,increment
2.76190476190476,-0.285714285714278,7.66666666666669,-6
4.38095238095241,0.619047619047592,9.57142857142856,-6
3.09523809523807,-0.380952380952408,8.47619047619048,-6
3.76190476190476,-0.380952380952408,6.52380952380952,-6
2.47619047619048,-0.380952380952408,6.57142857142856,-6
2.1904761904762,-0.380952380952408,6.57142857142856,-6
1.90476190476193,-0.380952380952408,6.57142857142856,-6
-0.380952380952408,-0.428571428571445,6.61904761904759,-6
-0.523809523809518,-0.428571428571445,6.61904761904759,-6
-0.666666666666686,-0.380952380952408,6.66666666666669,-6
-0.809523809523796,-1.33333333333331,5.71428571428572,-6
-1.90476190476193,-0.333333333333314,5.76190476190476,-6
-2.90476190476193,-0.333333333333314,6.76190476190476,6
-2.85714285714283,-1.23809523809524,6.90476190476193,6
-2.8095238095238,-0.238095238095241,4.04761904761904,6
-0.809523809523796,-0.190476190476204,2.38095238095241,6
-1.8095238095238,-0.190476190476204,-0.619047619047592,6
-0.714285714285722,0.809523809523796,-0.523809523809518,6
0.380952380952408,0.857142857142833,-0.428571428571445,6
0.428571428571445,-0.095238095238074,-0.285714285714278,6
0.523809523809518,-0.047619047619037,-1.09523809523807,6
0.523809523809518,-0.047619047619037,-1,6
0.619047619047592,0,0.142857142857167,6
1.61904761904759,-0.952380952380963,-0.714285714285722,6
0.714285714285722,0.047619047619037,-0.666666666666686,6
0.761904761904759,1,0.333333333333314,6
1.76190476190476,0,1.28571428571428,6
-1.09523809523807,-0.952380952380963,3.14285714285717,6
2.76190476190476,1,9.66666666666669,6
2.61904761904759,1.90476190476193,-27.952380952381,-6
1.52380952380952,-0.095238095238074,2,-6
3.33333333333331,-0.142857142857167,3.8095238095238,-6
3.09523809523807,0.809523809523796,2.66666666666669,-6
1.85714285714283,0.761904761904759,2.57142857142856,-6
2.57142857142856,1.61904761904759,1.52380952380952,-6
4.1904761904762,-0.380952380952408,-0.476190476190482,-6
3.90476190476193,-0.380952380952408,-1.38095238095241,-6
2.61904761904759,0.571428571428555,0.619047619047592,-6
3.33333333333331,0.571428571428555,-1.28571428571428,-6
1.1904761904762,1.52380952380952,21.6666666666667,-6
2,0.476190476190482,-17.4761904761905,-6
0.857142857142833,0.428571428571445,-1.42857142857144,-6
0.714285714285722,1.33333333333331,-1.38095238095241,-6
-1.33333333333331,0.285714285714278,-0.333333333333314,-6
-4.1904761904762,0.190476190476204,-0.333333333333314,-6
-2.1904761904762,0.142857142857167,-0.333333333333314,-6
-3.14285714285717,0.142857142857167,-0.285714285714278,6
-2.09523809523807,-0.857142857142833,-0.190476190476204,6
-1.23809523809524,0.047619047619037,-0.952380952380963,6
-1.1904761904762,0.047619047619037,0.571428571428555,6
-3.04761904761904,-0.857142857142833,0.190476190476204,6
0.857142857142833,0.095238095238074,-1.66666666666669,6
-1.04761904761904,-0.904761904761926,-1.42857142857144,6
0.952380952380963,-0.857142857142833,-1.23809523809524,6
2.8095238095238,-0.809523809523796,-2.95238095238096,6
-0.142857142857167,-0.714285714285722,-1.76190476190476,6
0,-0.714285714285722,-0.714285714285722,6
-0.809523809523796,-0.714285714285722,-1.66666666666669,6
0.285714285714278,0.285714285714278,-0.571428571428555,6
0.428571428571445,-0.666666666666686,-0.571428571428555,6
0.476190476190482,0.380952380952408,1.52380952380952,6
1.52380952380952,1.33333333333331,1.66666666666669,6
4.38095238095241,2.23809523809524,0.619047619047592,6
3.28571428571428,0.285714285714278,1.52380952380952,-6
1.1904761904762,0.285714285714278,-1.4761904761905,-6
1.90476190476193,-0.666666666666686,-0.4761904761905,-6
1.71428571428572,0.333333333333314,0.5238095238095,-6
2.1904761904762,0.809523809523796,0.428571428571445,6
1.23809523809524,0.809523809523796,0.476190476190482,6
